Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Features"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-6395-2-ND,445-6395-1-ND,445-6395-6-ND","MLZ2012DR10DT000","TDK Corporation","TDK Corporation","FIXED IND 100NH 1.15A 70MOHM SMD","52,027","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","100 nH","±20%","1.15 A","1A","Shielded","70mOhm","-","500MHz","-","-55°C ~ 125°C","25 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-6761-2-ND,445-6761-1-ND,445-6761-6-ND","MLZ2012N6R8LT000","TDK Corporation","TDK Corporation","FIXED IND 6.8UH 550MA 250MOHM SM","51,305","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","6.8 µH","±20%","550 mA","110mA","Shielded","250mOhm","-","60MHz","-","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-9496-2-ND,445-9496-1-ND,445-9496-6-ND","MLZ2012N101LT000","TDK Corporation","TDK Corporation","FIXED IND 100UH 140MA 3.5OHM SMD","406,805","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","100 µH","±20%","140 mA","30mA","Shielded","3.5Ohm","-","-","-","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-6762-2-ND,445-6762-1-ND,445-6762-6-ND","MLZ2012N100LT000","TDK Corporation","TDK Corporation","FIXED IND 10UH 500MA 300MOHM SMD","136,340","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","10 µH","±20%","500 mA","110mA","Shielded","300mOhm","-","50MHz","-","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_automotive_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-17076-2-ND,445-17076-1-ND,445-17076-6-ND","MLZ2012M220WTD25","TDK Corporation","TDK Corporation","FIXED IND 22UH 220MA 2 OHM SMD","76,605","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","22 µH","±20%","220 mA","60mA","Shielded","2Ohm","-","-","AEC-Q200","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-180208-2-ND,445-180208-1-ND,445-180208-6-ND","MLZ2012DR47DT000","TDK Corporation","TDK Corporation","FIXED IND 470NH 700MA 180MOHM SM","370,420","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","470 nH","±20%","700 mA","550mA","Shielded","180mOhm","-","-","-","-55°C ~ 125°C","25 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-6760-2-ND,445-6760-1-ND,445-6760-6-ND","MLZ2012N4R7LT000","TDK Corporation","TDK Corporation","FIXED IND 4.7UH 600MA 180MOHM SM","292,410","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","4.7 µH","±20%","600 mA","130mA","Shielded","180mOhm","-","70MHz","-","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-6756-2-ND,445-6756-1-ND,445-6756-6-ND","MLZ2012N1R0LT000","TDK Corporation","TDK Corporation","FIXED IND 1UH 1.15A 60 MOHM SMD","118,205","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","1 µH","±20%","1.15 A","220mA","Shielded","60mOhm","-","160MHz","-","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-6391-2-ND,445-6391-1-ND,445-6391-6-ND","MLZ2012A1R0WT000","TDK Corporation","TDK Corporation","FIXED IND 1UH 900MA 100 MOHM SMD","58,285","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","1 µH","±20%","900 mA","280mA","Shielded","100mOhm","-","160MHz","-","-55°C ~ 125°C","10 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-6759-2-ND,445-6759-1-ND,445-6759-6-ND","MLZ2012N3R3LT000","TDK Corporation","TDK Corporation","FIXED IND 3.3UH 750MA 150MOHM SM","46,769","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","3.3 µH","±20%","750 mA","130mA","Shielded","150mOhm","-","90MHz","-","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
