Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_midvoltage_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4736/MFG_C2012X5R2A475K125AC.jpg","445-C2012X5R2A475K125ACTR-ND,445-C2012X5R2A475K125ACCT-ND,445-C2012X5R2A475K125ACDKR-ND","C2012X5R2A475K125AC","TDK Corporation","TDK Corporation","CAP CER 4.7UF 100V X5R 0805","4,203","0.7","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","4.7 µF","±10%","100V","X5R","-55°C ~ 85°C","-","-","SMPS Filtering","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/445_0805-(2012-Metric)-1,45mm-C-Series.jpg","445-14560-2-ND,445-14560-1-ND,445-14560-6-ND","C2012X7S1A226M125AC","TDK Corporation","TDK Corporation","CAP CER 22UF 10V X7S 0805","763,273","0.7","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","22 µF","±20%","10V","X7S","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_soft_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/445_0805-(2012-Metric)-1,45mm-C-Series.jpg","445-172487-2-ND,445-172487-1-ND,445-172487-6-ND","C2012X7R1H225K125AE","TDK Corporation","TDK Corporation","CAP CER 2.2UF 50V X7R 0805","501,083","0.73","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","2.2 µF","±10%","50V","X7R","-55°C ~ 125°C","Soft Termination","-","Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.083"" L x 0.049"" W (2.10mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/445_0805-(2012-Metric)-1,45mm-C-Series.jpg","445-5986-2-ND,445-5986-1-ND,445-5986-6-ND","C2012X5R0J336M125AC","TDK Corporation","TDK Corporation","CAP CER 33UF 6.3V X5R 0805","384,486","0.78","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","33 µF","±20%","6.3V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/445_0805-(2012-Metric)-1,45mm-C-Series.jpg","445-14428-2-ND,445-14428-1-ND,445-14428-6-ND","C2012X5R1V226M125AC","TDK Corporation","TDK Corporation","CAP CER 22UF 35V X5R 0805","18,357","0.82","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","22 µF","±20%","35V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/445_0805-(2012-Metric)-1,45mm-C-Series.jpg","445-8239-2-ND,445-8239-1-ND,445-8239-6-ND","C2012X5R1A476M125AC","TDK Corporation","TDK Corporation","CAP CER 47UF 10V X5R 0805","446,624","0.79","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","47 µF","±20%","10V","X5R","-55°C ~ 85°C","Low ESL, Low ESR","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/445_0805-(2012-Metric)-1,45mm-C-Series.jpg","445-8238-2-ND,445-8238-1-ND,445-8238-6-ND","C2012X5R1A336M125AC","TDK Corporation","TDK Corporation","CAP CER 33UF 10V X5R 0805","284,130","0.88","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","33 µF","±20%","10V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/445_0805-(2012-Metric)-1,45mm-C-Series.jpg","445-9112-2-ND,445-9112-1-ND,445-9112-6-ND","C2012X5R1E226M125AC","TDK Corporation","TDK Corporation","CAP CER 22UF 25V X5R 0805","4,331","2.19","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","22 µF","±20%","25V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.057"" (1.45mm)","-","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_midvoltage_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/445_0805-(2012-Metric)-1,45mm-C-Series.jpg","445-2320-2-ND,445-2320-1-ND,445-2320-6-ND","C2012C0G2A102J060AA","TDK Corporation","TDK Corporation","CAP CER 1000PF 100V C0G 0805","172,978","0.13","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","1000 pF","±5%","100V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_midvoltage_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4846/445_0805-(2012-Metric)-1,45mm-C-Series.jpg","445-4135-2-ND,445-4135-1-ND,445-4135-6-ND","C2012C0G2A122J060AA","TDK Corporation","TDK Corporation","CAP CER 1200PF 100V C0G 0805","16,146","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","1200 pF","±5%","100V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.030"" (0.75mm)","-","-"
