Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2482/0402 C Series Thick .50.jpg","445-1256-2-ND,445-1256-1-ND,445-1256-6-ND","C1005X7R1H102K050BA","TDK Corporation","TDK Corporation","CAP CER 1000PF 50V X7R 0402","767,129","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","1000 pF","±10%","50V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/773/0402-(1005-Metric)-0.70mm-C-Series.jpg","445-4952-2-ND,445-4952-1-ND,445-4952-6-ND","C1005X7R1C104K050BC","TDK Corporation","TDK Corporation","CAP CER 0.1UF 16V X7R 0402","5,704,986","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.1 µF","±10%","16V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/773/0402-(1005-Metric)-0.70mm-C-Series.jpg","445-4964-2-ND,445-4964-1-ND,445-4964-6-ND","C1005X5R1E104K050BC","TDK Corporation","TDK Corporation","CAP CER 0.1UF 25V X5R 0402","1,686,193","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.1 µF","±10%","25V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2482/0402 C Series Thick .50.jpg","445-5932-2-ND,445-5932-1-ND,445-5932-6-ND","C1005X7R1H104K050BB","TDK Corporation","TDK Corporation","CAP CER 0.1UF 50V X7R 0402","7,141,413","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.1 µF","±10%","50V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/773/0402-(1005-Metric)-0.70mm-C-Series.jpg","445-6850-2-ND,445-6850-1-ND,445-6850-6-ND","C1005X7R1H103K050BB","TDK Corporation","TDK Corporation","CAP CER 10000PF 50V X7R 0402","256,000","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","10000 pF","±10%","50V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/773/0402-(1005-Metric)-0.70mm-C-Series.jpg","445-7348-2-ND,445-7348-1-ND,445-7348-6-ND","C1005X7R1E104K050BB","TDK Corporation","TDK Corporation","CAP CER 0.1UF 25V X7R 0402","3,233,420","0.11","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.1 µF","±10%","25V","X7R","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2482/0402 C Series Thick .50.jpg","445-5942-2-ND,445-5942-1-ND,445-5942-6-ND","C1005X5R1H104K050BB","TDK Corporation","TDK Corporation","CAP CER 0.1UF 50V X5R 0402","1,683,567","0.11","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.1 µF","±10%","50V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/773/0402-(1005-Metric)-0.70mm-C-Series.jpg","445-9086-2-ND,445-9086-1-ND,445-9086-6-ND","C1005X6S1C105K050BC","TDK Corporation","TDK Corporation","CAP CER 1UF 16V X6S 0402","383,491","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","1 µF","±10%","16V","X6S","-55°C ~ 105°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/773/0402-(1005-Metric)-0.70mm-C-Series.jpg","445-8020-2-ND,445-8020-1-ND,445-8020-6-ND","C1005X5R1E474K050BB","TDK Corporation","TDK Corporation","CAP CER 0.47UF 25V X5R 0402","609,167","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.47 µF","±10%","25V","X5R","-55°C ~ 85°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_commercial_general_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/773/0402-(1005-Metric)-0.70mm-C-Series.jpg","445-8009-2-ND,445-8009-1-ND,445-8009-6-ND","C1005X7S1A474K050BC","TDK Corporation","TDK Corporation","CAP CER 0.47UF 10V X7S 0402","194,901","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","C","Active","0.47 µF","±10%","10V","X7S","-55°C ~ 125°C","Low ESL","-","General Purpose","-","Surface Mount, MLCC","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
