Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Features"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz1608_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/0603-MLZ.jpg","445-6389-2-ND,445-6389-1-ND,445-6389-6-ND","MLZ1608M100WT000","TDK Corporation","TDK Corporation","FIXED IND 10UH 250MA 1.05OHM SMD","348,797","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","10 µH","±20%","250 mA","90mA","Shielded","1.05Ohm","-","50MHz","-","-55°C ~ 125°C","2 MHz","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz1608_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/0603-MLZ.jpg","445-6755-2-ND,445-6755-1-ND,445-6755-6-ND","MLZ1608N100LT000","TDK Corporation","TDK Corporation","FIXED IND 10UH 300MA 600MOHM SMD","307,077","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","10 µH","±20%","300 mA","60mA","Shielded","600mOhm","-","-","-","-55°C ~ 125°C","2 MHz","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf1608_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/445_0603 (1608 metric).jpg","445-1012-2-ND,445-1012-1-ND,445-1012-6-ND","MLF1608DR56KTA00","TDK Corporation","TDK Corporation","FIXED IND 560NH 100MA 1.05OHM SM","8,416","0.16","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","560 nH","±10%","100 mA","-","Shielded","1.05Ohm Max","15 @ 25MHz","170MHz","-","-40°C ~ 85°C","25 MHz","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_automotive_standard_mlf1608_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/445_0603 (1608 metric).jpg","445-16970-2-ND,445-16970-1-ND,445-16970-6-ND","MLF1608DR56JTD25","TDK Corporation","TDK Corporation","FIXED IND 560NH 100MA 1.05OHM SM","59,265","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","560 nH","±5%","100 mA","-","Shielded","1.05Ohm Max","15 @ 25MHz","170MHz","AEC-Q200","-55°C ~ 125°C","25 MHz","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","-"
"https://product.tdk.com/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_tfm160808alc_en.pdf?ref_disty=digikey","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2311/MFG_TFM-ALC-Series.jpg","445-174891-2-ND,445-174891-1-ND,445-174891-6-ND","TFM160808ALC-R47MTAA","TDK Corporation","TDK Corporation","FIXED IND 470NH 2.7A 62 MOHM SMD","34,334","0.39","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TFM-ALC","Active","Thin Film","Metal","470 nH","±20%","2.6 A","2.7A","Shielded","62mOhm Max","-","-","-","-40°C ~ 125°C","1 MHz","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.031"" (0.80mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz1608_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/0603-MLZ.jpg","445-6386-2-ND,445-6386-1-ND,445-6386-6-ND","MLZ1608DR10DT000","TDK Corporation","TDK Corporation","FIXED IND 100NH 850MA 140MOHM SM","32,913","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","100 nH","±20%","850 mA","700mA","Shielded","140mOhm","-","600MHz","-","-55°C ~ 125°C","25 MHz","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz1608_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/0603-MLZ.jpg","445-6388-2-ND,445-6388-1-ND,445-6388-6-ND","MLZ1608DR47DT000","TDK Corporation","TDK Corporation","FIXED IND 470NH 500MA 420MOHM SM","19,117","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","470 nH","±20%","500 mA","400mA","Shielded","420mOhm","-","260MHz","-","-55°C ~ 125°C","25 MHz","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf1608_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/445_0603 (1608 metric).jpg","445-1000-2-ND,445-1000-1-ND,445-1000-6-ND","MLF1608D47NMTA00","TDK Corporation","TDK Corporation","FIXED IND 47NH 200MA 200MOHM SMD","9,098","0.13","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","47 nH","±20%","200 mA","-","Shielded","200mOhm Max","10 @ 50MHz","600MHz","-","-40°C ~ 85°C","50 MHz","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz1608_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/0603-MLZ.jpg","445-6390-2-ND,445-6390-1-ND,445-6390-6-ND","MLZ1608M4R7WT000","TDK Corporation","TDK Corporation","FIXED IND 4.7UH 350MA 500MOHM SM","102,220","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","4.7 µH","±20%","350 mA","120mA","Shielded","500mOhm","-","-","-","-55°C ~ 125°C","2 MHz","Surface Mount","0603 (1608 Metric)","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_decoupling_mlz1608_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/632/0603-MLZ.jpg","445-MLZ1608M3R3WT000TR-ND,445-MLZ1608M3R3WT000CT-ND,445-MLZ1608M3R3WT000DKR-ND","MLZ1608M3R3WT000","TDK Corporation","TDK Corporation","FIXED IND 3.3UH 400MA 330MOHM SM","40,665","0.14","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","3.3 µH","±20%","400 mA","120mA","Shielded","330mOhm","-","-","-","-55°C ~ 125°C","2 MHz","Surface Mount","0603 (1608 Metric)","0603","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","-"
