Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Features"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-172432-2-ND,445-172432-1-ND,445-172432-6-ND","MLG0603P2N2CT000","TDK Corporation","TDK Corporation","FIXED IND 2.2NH 600MA 100MOHM SM","27,260","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","2.2 nH","±0.2nH","600 mA","-","Unshielded","100mOhm Max","14 @ 500MHz","7.5GHz","-","-55°C ~ 125°C","500 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-7822-2-ND,445-7822-1-ND,445-7822-6-ND","MLG0603P6N8JT000","TDK Corporation","TDK Corporation","FIXED IND 6.8NH 300MA 750MOHM SM","16,670","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","6.8 nH","±5%","300 mA","-","Unshielded","750mOhm Max","14 @ 500MHz","4GHz","-","-55°C ~ 125°C","500 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-MLG0603P1N5BT000TR-ND,445-MLG0603P1N5BT000CT-ND,445-MLG0603P1N5BT000DKR-ND","MLG0603P1N5BT000","TDK Corporation","TDK Corporation","FIXED IND 1.5NH 800MA 100MOHM SM","16,493","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","1.5 nH","±0.1nH","800 mA","-","Unshielded","100mOhm Max","14 @ 500MHz","10GHz","-","-55°C ~ 125°C","500 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-7826-2-ND,445-7826-1-ND,445-7826-6-ND","MLG0603P10NJT000","TDK Corporation","TDK Corporation","FIXED IND 10NH 250MA 950MOHM SMD","46,615","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","10 nH","±5%","250 mA","-","Unshielded","950mOhm Max","14 @ 500MHz","4GHz","-","-55°C ~ 125°C","500 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-7813-2-ND,445-7813-1-ND,445-7813-6-ND","MLG0603P3N0ST000","TDK Corporation","TDK Corporation","FIXED IND 3NH 450MA 200 MOHM SMD","28,860","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","3 nH","±0.3nH","450 mA","-","Unshielded","200mOhm Max","14 @ 500MHz","7.5GHz","-","-55°C ~ 125°C","500 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-7823-2-ND,445-7823-1-ND,445-7823-6-ND","MLG0603P7N5JT000","TDK Corporation","TDK Corporation","FIXED IND 7.5NH 300MA 800MOHM SM","17,355","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","7.5 nH","±5%","300 mA","-","Unshielded","800mOhm Max","14 @ 500MHz","4GHz","-","-55°C ~ 125°C","500 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-7838-2-ND,445-7838-1-ND,445-7838-6-ND","MLG0603PR10JT000","TDK Corporation","TDK Corporation","FIXED IND 100NH 80MA 4.5 OHM SMD","80,811","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","100 nH","±5%","80 mA","-","Unshielded","4.5Ohm Max","9 @ 300MHz","900MHz","-","-55°C ~ 125°C","300 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-7832-2-ND,445-7832-1-ND,445-7832-6-ND","MLG0603P33NJT000","TDK Corporation","TDK Corporation","FIXED IND 33NH 130MA 2.2 OHM SMD","17,319","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","33 nH","±5%","130 mA","-","Unshielded","2.2Ohm Max","10 @ 300MHz","1.8GHz","-","-55°C ~ 125°C","300 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-175370-2-ND,445-175370-1-ND,445-175370-6-ND","MLG0603P1N0BT000","TDK Corporation","TDK Corporation","FIXED IND 1NH 1A 70 MOHM SMD","32,975","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","1 nH","±0.1nH","1 A","-","Unshielded","70mOhm Max","14 @ 500MHz","10GHz","-","-55°C ~ 125°C","500 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_high-frequency_mlg0603p_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2574/MLG Series 0201.jpg","445-7815-2-ND,445-7815-1-ND,445-7815-6-ND","MLG0603P3N6ST000","TDK Corporation","TDK Corporation","FIXED IND 3.6NH 400MA 200MOHM SM","21,680","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLG-P","Active","Multilayer","Non-Magnetic","3.6 nH","±0.3nH","400 mA","-","Unshielded","200mOhm Max","14 @ 500MHz","6.5GHz","-","-55°C ~ 125°C","500 MHz","Surface Mount","0201 (0603 Metric)","0201 (0603 Metric)","0.024"" L x 0.012"" W (0.60mm x 0.30mm)","0.013"" (0.33mm)","-"
