Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Features"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-8990-2-ND,445-8990-1-ND,445-8990-6-ND","MLF2012DR39M","TDK Corporation","TDK Corporation","FIXED IND 390NH 200MA 450MOHM SM","3,997","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","390 nH","±20%","200 mA","-","Shielded","450mOhm Max","25 @ 25MHz","180MHz","-","-55°C ~ 125°C","25 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2597/MLF2012 SERIES.jpg","445-1033-2-ND,445-1033-1-ND","MLF2012D68NMT000","TDK Corporation","TDK Corporation","FIXED IND 68NH 300MA 150MOHM SMD","3,880","0.15","0","1","Tape & Reel (TR),Cut Tape (CT)","MLF","Active","Multilayer","Ferrite","68 nH","±20%","300 mA","-","Shielded","150mOhm Max","15 @ 50MHz","500MHz","-","-55°C ~ 125°C","50 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-MLF2012A1R2MT000TR-ND,445-MLF2012A1R2MT000CT-ND,445-MLF2012A1R2MT000DKR-ND","MLF2012A1R2MT000","TDK Corporation","TDK Corporation","FIXED IND 1.2UH 80MA 350MOHM SMD","3,833","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","1.2 µH","±20%","80 mA","-","Shielded","350mOhm Max","45 @ 10MHz","110MHz","-","-55°C ~ 125°C","10 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_automotive_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-16379-2-ND,445-16379-1-ND,445-16379-6-ND","MLZ2012N1R5LTD25","TDK Corporation","TDK Corporation","FIXED IND 1.5UH 900MA 100MOHM SM","3,775","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","1.5 µH","±20%","900 mA","190mA","Shielded","100mOhm","-","-","AEC-Q200","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-8985-2-ND,445-8985-1-ND,445-8985-6-ND","MLF2012DR15M","TDK Corporation","TDK Corporation","FIXED IND 150NH 300MA 200MOHM SM","3,528","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","150 nH","±20%","300 mA","-","Shielded","200mOhm Max","20 @ 25MHz","320MHz","-","-55°C ~ 125°C","25 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2392/0805 (2012) TDK.jpg","445-181352-2-ND,445-181352-1-ND,445-181352-6-ND","MLF2012E100MT000","TDK Corporation","TDK Corporation","FIXED IND 10UH 15MA 800 MOHM SMD","2,806","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","10 µH","±20%","15 mA","-","Shielded","800mOhm Max","50 @ 2MHz","30MHz","-","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_automotive_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-16375-2-ND,445-16375-1-ND,445-16375-6-ND","MLZ2012A3R3WTD25","TDK Corporation","TDK Corporation","FIXED IND 3.3UH 450MA 340MOHM SM","2,124","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","3.3 µH","±20%","450 mA","200mA","Shielded","340mOhm","-","-","AEC-Q200","-55°C ~ 125°C","10 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_standard_mlf2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-MLF2012C101MT000TR-ND,445-MLF2012C101MT000CT-ND,445-MLF2012C101MT000DKR-ND","MLF2012C101MT000","TDK Corporation","TDK Corporation","FIXED IND 100UH 2MA 3.1 OHM SMD","1,970","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","100 µH","±20%","2 mA","-","Shielded","3.1Ohm Max","25 @ 1MHz","7MHz","-","-40°C ~ 85°C","1 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2355/MFG_MLF2012.jpg","445-8978-2-ND,445-8978-1-ND,445-8978-6-ND","MLF2012C220MT000","TDK Corporation","TDK Corporation","FIXED IND 22UH 5MA 900 MOHM SMD","1,895","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLF","Active","Multilayer","Ferrite","22 µH","±20%","5 mA","-","Shielded","900mOhm Max","30 @ 1MHz","18MHz","-","-40°C ~ 85°C","1 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
"https://product.tdk.com/en/system/files?file=dam/doc/product/inductor/inductor/smd/catalog/inductor_automotive_decoupling_mlz2012_en.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2549/MFG_MLZ2012.jpg","445-181778-2-ND,445-181778-1-ND,445-181778-6-ND","MLZ2012P220WTD25","TDK Corporation","TDK Corporation","FIXED IND 22UH 220MA 1.25OHM SMD","1,877","0.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MLZ","Active","Multilayer","Ferrite","22 µH","±20%","220 mA","100mA","Shielded","1.25Ohm","-","-","AEC-Q200","-55°C ~ 125°C","2 MHz","Surface Mount","0805 (2012 Metric)","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","-"
